cod_asesor|cod_tesis|cod_usuario
1|305|412
2|33|344
3|406|347
4|252|271
5|216|239
6|397|414
7|465|386
8|315|190
9|412|364
10|39|25
11|190|406
12|257|251
13|34|315
14|87|306
15|488|230
16|252|173
17|433|244
18|174|340
19|28|74
20|215|319
21|210|54
22|210|46
23|15|425
24|216|277
25|46|252
26|343|367
27|85|9
28|320|65
29|241|319
30|457|105
31|348|488
32|79|288
33|462|203
34|407|36
35|319|282
36|350|303
37|125|375
38|164|244
39|366|73
40|107|223
41|168|481
42|400|29
43|18|380
44|278|41
45|443|277
46|182|161
47|26|376
48|182|130
49|371|349
50|256|215
51|109|200
52|477|276
53|203|136
54|440|483
55|280|259
56|58|207
57|26|336
58|6|363
59|345|235
60|422|269
61|272|409
62|375|51
63|83|101
64|198|132
65|319|4
66|486|180
67|333|330
68|312|125
69|238|234
70|75|478
71|128|53
72|107|463
73|161|350
74|42|369
75|143|170
76|383|488
77|500|29
78|219|140
79|289|404
80|112|369
81|366|2
82|281|264
83|72|270
84|365|450
85|323|392
86|359|28
87|313|437
88|373|116
89|437|132
90|452|274
91|155|127
92|22|64
93|138|473
94|212|342
95|326|155
96|298|41
97|7|345
98|363|271
99|7|39
100|54|302
101|258|384
102|362|35
103|32|317
104|431|250
105|134|387
106|158|12
107|405|434
108|113|403
109|325|263
110|204|207
111|364|290
112|343|240
113|322|409
114|495|50
115|251|328
116|64|303
117|224|421
118|457|188
119|475|476
120|58|440
121|490|144
122|316|375
123|110|141
124|244|174
125|110|293
126|43|401
127|231|426
128|233|409
129|175|220
130|207|220
131|305|138
132|486|225
133|301|467
134|150|40
135|89|498
136|103|413
137|446|36
138|245|371
139|280|244
140|312|294
141|481|217
142|212|436
143|135|22
144|141|437
145|195|397
146|422|322
147|398|3
148|433|318
149|319|68
150|129|267
151|443|288
152|295|316
153|168|180
154|107|198
155|266|195
156|90|31
157|326|394
158|256|190
159|442|67
160|30|466
161|310|90
162|414|421
163|494|279
164|43|125
165|269|467
166|222|15
167|216|59
168|324|130
169|462|303
170|499|432
171|180|425
172|111|323
173|10|283
174|413|294
175|2|34
176|195|250
177|213|152
178|318|217
179|377|369
180|262|167
181|422|369
182|497|90
183|361|383
184|232|342
185|286|346
186|42|216
187|135|82
188|450|101
189|442|369
190|350|81
191|295|278
192|158|52
193|101|218
194|336|29
195|90|211
196|307|432
197|190|59
198|129|80
199|33|275
200|493|429
201|291|230
202|142|339
203|66|270
204|362|406
205|342|236
206|489|246
207|163|167
208|161|265
209|11|398
210|304|65
211|185|100
212|471|149
213|352|465
214|347|105
215|217|286
216|217|291
217|194|101
218|355|68
219|55|125
220|311|378
221|69|432
222|13|240
223|212|123
224|239|47
225|114|491
226|196|371
227|388|299
228|499|382
229|360|238
230|4|436
231|352|203
232|211|52
233|11|401
234|327|57
235|418|235
236|188|82
237|128|96
238|68|431
239|431|398
240|139|104
241|237|420
242|264|104
243|292|474
244|19|173
245|15|72
246|43|175
247|93|161
248|216|454
249|492|40
250|162|8
251|297|243
252|322|169
253|254|96
254|156|274
255|255|319
256|117|404
257|110|410
258|76|191
259|204|431
260|24|193
261|361|55
262|183|207
263|105|444
264|143|235
265|326|183
266|386|239
267|10|319
268|436|71
269|314|277
270|58|206
271|177|286
272|138|73
273|407|192
274|34|485
275|464|456
276|470|406
277|237|447
278|270|85
279|76|19
280|82|282
281|334|334
282|157|175
283|76|46
284|8|165
285|310|119
286|107|414
287|487|463
288|147|418
289|426|270
290|483|175
291|114|42
292|498|331
293|269|496
294|32|459
295|264|129
296|277|190
297|13|193
298|182|308
299|306|456
300|16|231
301|423|256
302|395|116
303|433|420
304|397|237
305|402|399
306|205|158
307|468|286
308|170|83
309|199|460
310|206|317
311|345|98
312|3|138
313|402|458
314|248|397
315|195|84
316|193|116
317|352|62
318|143|422
319|81|217
320|192|357
321|16|249
322|156|218
323|130|311
324|98|148
325|228|157
326|15|6
327|363|126
328|215|24
329|49|161
330|500|409
331|308|58
332|136|324
333|26|165
334|225|215
335|310|17
336|333|396
337|476|402
338|340|243
339|240|219
340|54|380
341|398|19
342|202|433
343|473|340
344|81|399
345|27|156
346|452|453
347|310|213
348|84|137
349|350|138
350|149|187
351|201|79
352|107|59
353|467|235
354|255|170
355|396|104
356|454|448
357|81|391
358|399|471
359|324|79
360|8|432
361|195|263
362|467|398
363|280|336
364|185|424
365|207|1
366|322|259
367|500|470
368|419|274
369|289|202
370|77|352
371|340|230
372|395|343
373|440|380
374|499|379
375|223|330
376|130|160
377|134|390
378|212|50
379|298|51
380|72|24
381|199|50
382|46|134
383|14|19
384|322|406
385|315|308
386|337|333
387|50|362
388|386|81
389|235|103
390|273|481
391|431|323
392|299|447
393|189|312
394|277|106
395|485|376
396|485|231
397|392|348
398|431|437
399|125|457
400|154|100
401|60|1
402|186|333
403|150|341
404|212|483
405|97|268
406|236|193
407|380|183
408|255|142
409|60|144
410|35|32
411|144|440
412|208|21
413|416|204
414|43|493
415|225|310
416|174|393
417|27|371
418|430|372
419|95|141
420|115|331
421|468|247
422|191|215
423|168|376
424|202|59
425|375|203
426|311|70
427|248|125
428|354|40
429|135|434
430|183|422
431|220|429
432|115|247
433|384|371
434|71|105
435|16|217
436|248|369
437|356|93
438|289|485
439|281|34
440|227|107
441|335|485
442|38|108
443|130|78
444|47|215
445|418|195
446|478|290
447|316|57
448|256|445
449|453|232
450|238|351
451|134|322
452|145|130
453|68|73
454|312|430
455|82|254
456|233|243
457|20|450
458|445|437
459|286|355
460|45|21
461|244|479
462|160|221
463|478|455
464|198|36
465|321|493
466|281|122
467|286|366
468|278|343
469|93|111
470|232|69
471|390|312
472|427|335
473|232|1
474|266|246
475|32|95
476|473|34
477|84|305
478|161|3
479|341|25
480|346|496
481|422|237
482|287|27
483|467|259
484|467|42
485|264|343
486|484|129
487|35|104
488|451|26
489|226|107
490|349|14
491|327|26
492|43|217
493|26|158
494|441|168
495|444|252
496|84|343
497|428|14
498|27|466
499|372|495
500|449|185
