cod_comite|num_integrantes
1|2
2|1
3|3
4|3
5|5
6|4
7|5
8|1
9|3
10|2
11|4
12|5
13|3
14|5
15|3
16|4
17|2
18|1
19|2
20|2
21|3
22|4
23|2
24|2
25|2
26|3
27|2
28|3
29|2
30|1
31|5
32|4
33|4
34|1
35|5
36|1
37|5
38|3
39|4
40|5
41|1
42|4
43|1
44|5
45|3
46|4
47|2
48|4
49|1
50|3
51|1
52|2
53|3
54|4
55|2
56|5
57|5
58|5
59|5
60|5
61|2
62|2
63|1
64|2
65|1
66|5
67|2
68|3
69|4
70|2
71|1
72|2
73|3
74|5
75|1
76|5
77|3
78|5
79|3
80|5
81|2
82|4
83|3
84|3
85|3
86|4
87|3
88|3
89|1
90|4
91|3
92|2
93|1
94|1
95|3
96|5
97|2
98|5
99|3
100|1
101|2
102|5
103|2
104|5
105|3
106|2
107|1
108|5
109|3
110|2
111|2
112|3
113|1
114|5
115|3
116|5
117|4
118|5
119|5
120|1
121|3
122|2
123|5
124|3
125|1
126|3
127|4
128|2
129|3
130|3
131|5
132|1
133|1
134|1
135|5
136|5
137|3
138|4
139|1
140|2
141|2
142|4
143|1
144|1
145|2
146|4
147|2
148|4
149|2
150|4
151|5
152|5
153|2
154|2
155|3
156|4
157|5
158|5
159|5
160|2
161|2
162|1
163|2
164|3
165|2
166|3
167|5
168|1
169|5
170|2
171|5
172|3
173|4
174|2
175|5
176|5
177|1
178|2
179|3
180|3
181|5
182|5
183|4
184|4
185|2
186|4
187|1
188|1
189|3
190|2
191|1
192|3
193|1
194|3
195|5
196|5
197|4
198|1
199|4
200|1
201|3
202|3
203|3
204|5
205|3
206|1
207|4
208|5
209|4
210|2
211|5
212|2
213|5
214|1
215|5
216|4
217|1
218|1
219|2
220|3
221|3
222|5
223|3
224|1
225|5
226|3
227|3
228|5
229|2
230|3
231|4
232|4
233|1
234|2
235|5
236|2
237|1
238|3
239|4
240|1
241|5
242|3
243|5
244|2
245|2
246|3
247|4
248|1
249|1
250|5
251|4
252|5
253|2
254|5
255|5
256|4
257|4
258|3
259|3
260|1
261|3
262|2
263|5
264|3
265|2
266|3
267|4
268|3
269|5
270|2
271|4
272|2
273|5
274|2
275|4
276|3
277|3
278|1
279|3
280|4
281|5
282|3
283|4
284|3
285|3
286|2
287|2
288|3
289|1
290|2
291|2
292|2
293|5
294|4
295|5
296|3
297|2
298|1
299|4
300|2
301|5
302|3
303|5
304|5
305|5
306|3
307|5
308|5
309|2
310|3
311|5
312|5
313|2
314|2
315|1
316|1
317|1
318|4
319|4
320|2
321|5
322|2
323|4
324|5
325|3
326|4
327|1
328|2
329|4
330|2
331|1
332|5
333|3
334|5
335|4
336|1
337|4
338|2
339|2
340|2
341|4
342|2
343|4
344|5
345|5
346|3
347|3
348|3
349|2
350|5
351|4
352|2
353|3
354|3
355|4
356|1
357|1
358|3
359|3
360|1
361|3
362|3
363|5
364|5
365|5
366|4
367|3
368|4
369|4
370|2
371|5
372|1
373|1
374|2
375|1
376|2
377|4
378|5
379|4
380|5
381|4
382|3
383|1
384|1
385|2
386|4
387|3
388|3
389|4
390|2
391|4
392|5
393|5
394|3
395|4
396|1
397|4
398|4
399|1
400|5
401|3
402|5
403|1
404|4
405|4
406|3
407|3
408|5
409|4
410|4
411|2
412|2
413|1
414|5
415|5
416|5
417|5
418|1
419|1
420|5
421|5
422|1
423|4
424|4
425|2
426|2
427|3
428|1
429|2
430|3
431|4
432|3
433|1
434|3
435|3
436|4
437|1
438|1
439|2
440|3
441|4
442|1
443|1
444|3
445|3
446|3
447|4
448|1
449|4
450|4
451|4
452|4
453|2
454|1
455|1
456|1
457|1
458|5
459|1
460|3
461|1
462|2
463|2
464|5
465|3
466|3
467|1
468|1
469|5
470|3
471|1
472|3
473|5
474|4
475|3
476|2
477|1
478|4
479|1
480|3
481|1
482|5
483|5
484|1
485|1
486|3
487|5
488|5
489|3
490|3
491|5
492|5
493|3
494|3
495|1
496|5
497|3
498|1
499|2
500|5
