cod_detalle_folio|cod_folio|cod_doc|nombreArchivo
1|491|37|LaciniaEget.ppt
2|6|228|InEleifend.ppt
3|222|160|QuisquePorta.doc
4|248|234|Integer.avi
5|215|278|AuctorGravida.xls
6|348|24|MetusArcuAdipiscing.xls
7|307|303|VenenatisTristique.ppt
8|417|180|Nisl.mov
9|198|358|Ultrices.ppt
10|183|181|VitaeNisiNam.mp3
11|130|123|NibhIn.ppt
12|310|37|Quis.xls
13|389|495|NisiVolutpatEleifend.txt
14|35|258|Integer.doc
15|208|190|InterdumEu.mp3
16|390|57|Eu.txt
17|249|476|VestibulumAnte.tiff
18|438|148|EgetCongue.mpeg
19|54|42|InCongue.gif
20|418|329|OdioPorttitorId.ppt
21|154|52|Eros.xls
22|180|399|FaucibusOrci.ppt
23|497|92|PraesentBlandit.xls
24|430|331|JustoIn.ppt
25|379|360|SitAmetDiam.mp3
26|336|221|ArcuLibero.mov
27|445|85|InEst.ppt
28|187|343|Rutrum.mp3
29|390|167|PenatibusEtMagnis.mp3
30|223|215|MaurisUllamcorperPurus.gif
31|93|2|ViverraDiamVitae.mp3
32|57|424|EtCommodoVulputate.txt
33|153|269|DuisBibendum.txt
34|63|307|Ultrices.mpeg
35|323|369|Aenean.tiff
36|419|450|OdioConsequat.mp3
37|264|339|VulputateUtUltrices.jpeg
38|125|40|IdLuctus.mpeg
39|147|124|Etiam.avi
40|74|380|EuPede.xls
41|272|120|Morbi.mov
42|226|53|NislDuisAc.ppt
43|161|275|AtFeugiat.mp3
44|373|478|EleifendPedeLibero.ppt
45|119|9|LiberoNamDui.tiff
46|406|496|SemPraesentId.txt
47|246|354|LobortisLigula.tiff
48|480|328|QuisLibero.jpeg
49|218|201|Eros.doc
50|189|172|MaecenasTristique.tiff
51|493|265|BlanditLacinia.png
52|465|238|Duis.avi
53|193|53|SuspendissePotenti.ppt
54|370|45|Commodo.ppt
55|354|196|CommodoPlaceratPraesent.xls
56|384|426|Vestibulum.png
57|422|331|MorbiUt.mov
58|347|426|MassaDonec.txt
59|262|238|Lacinia.avi
60|358|28|Duis.ppt
61|286|380|Quisque.avi
62|15|362|NullaJusto.txt
63|140|148|SemMauris.avi
64|259|71|EratVestibulumSed.png
65|37|299|Odio.mp3
66|421|238|AliquamQuisTurpis.xls
67|424|306|VolutpatConvallis.jpeg
68|458|400|Faucibus.avi
69|203|150|ANibh.mpeg
70|386|7|Tristique.tiff
