cod_folio|cod_usuario|fecha
1|77|2020-11-18 22:23:11
2|150|2020-11-02 12:52:31
3|163|2018-08-19 04:52:42
4|76|2017-06-01 08:16:17
5|254|2019-07-15 16:23:36
6|260|2015-06-06 10:16:19
7|235|2021-07-06 05:22:04
8|498|2017-06-20 10:43:59
9|266|2018-08-24 09:09:52
10|255|2020-04-15 11:29:58
11|379|2021-09-15 22:25:53
12|446|2019-06-09 01:33:15
13|431|2019-09-14 02:34:16
14|45|2022-05-27 15:57:00
15|160|2020-10-01 21:54:13
16|166|2018-04-13 00:11:21
17|346|2021-02-20 19:58:11
18|83|2018-02-13 18:45:40
19|235|2020-01-18 14:34:46
20|20|2017-06-09 20:24:04
21|255|2015-11-07 17:31:36
22|179|2016-03-03 15:15:56
23|99|2020-11-12 23:54:18
24|492|2018-11-14 02:52:35
25|178|2016-02-09 02:18:10
26|345|2020-12-08 04:43:17
27|336|2017-11-04 08:43:24
28|177|2016-10-10 02:24:13
29|154|2018-03-02 04:36:27
30|406|2017-12-01 21:05:49
31|213|2015-09-26 01:37:49
32|328|2022-06-19 14:15:14
33|328|2015-06-23 22:21:26
34|259|2021-02-12 20:05:11
35|248|2021-07-09 07:13:32
36|183|2022-03-19 13:52:20
37|460|2018-12-25 17:32:36
38|183|2019-08-25 07:10:48
39|188|2015-12-11 03:44:08
40|155|2020-03-14 12:21:28
41|456|2017-12-18 07:39:57
42|483|2021-08-09 18:06:56
43|302|2016-02-01 07:44:22
44|185|2017-07-12 03:34:18
45|443|2015-10-28 09:57:03
46|164|2015-01-19 03:04:27
47|415|2016-09-21 12:14:24
48|177|2017-01-09 11:14:58
49|488|2019-11-25 20:49:06
50|17|2021-11-24 22:08:40
51|76|2021-03-21 10:44:04
52|73|2020-03-08 23:02:29
53|468|2016-05-30 03:26:44
54|144|2022-08-13 06:22:22
55|99|2018-09-21 23:44:17
56|488|2022-02-14 18:34:03
57|362|2018-07-14 10:28:17
58|145|2021-11-09 08:55:16
59|61|2020-04-06 08:27:22
60|226|2018-03-12 20:17:59
61|491|2016-06-22 18:35:09
62|125|2015-05-13 01:21:03
63|18|2016-10-22 10:10:00
64|16|2021-06-19 01:06:18
65|186|2022-05-14 21:11:27
66|46|2017-04-24 04:27:19
67|461|2022-07-29 01:18:24
68|283|2020-05-25 20:02:36
69|493|2016-07-12 13:33:45
70|192|2016-03-10 10:51:03
71|453|2018-07-14 15:31:55
72|296|2020-02-23 14:44:31
73|322|2019-12-23 09:24:16
74|67|2017-03-20 18:25:44
75|268|2016-01-29 08:07:31
76|454|2018-10-08 06:44:17
77|12|2017-07-13 07:27:40
78|237|2017-10-25 00:12:22
79|33|2022-03-07 12:45:37
80|101|2016-11-17 02:47:08
81|181|2017-02-02 17:09:44
82|229|2015-05-08 13:47:08
83|130|2017-09-05 11:26:52
84|425|2019-09-08 07:14:29
85|281|2015-06-07 05:41:14
86|344|2021-09-24 23:11:02
87|258|2015-07-06 10:32:52
88|71|2016-07-04 17:54:11
89|66|2016-08-19 04:16:50
90|11|2015-06-25 18:29:37
91|446|2018-12-15 05:14:31
92|345|2015-06-29 10:50:09
93|405|2022-07-28 01:05:30
94|299|2019-10-11 04:59:41
95|52|2022-04-28 01:40:38
96|374|2020-04-23 17:51:54
97|152|2018-02-15 16:48:22
98|129|2016-07-30 19:10:36
99|308|2022-02-05 11:04:59
100|349|2018-04-21 08:28:56
101|384|2018-07-06 11:27:31
102|159|2022-03-10 13:10:17
103|467|2015-07-16 00:39:37
104|391|2017-01-20 11:52:03
105|165|2019-03-15 10:18:54
106|197|2015-05-02 21:50:09
107|403|2018-04-01 13:43:16
108|312|2021-12-21 06:42:18
109|105|2015-09-20 02:17:30
110|326|2015-08-30 18:14:05
111|430|2016-07-03 05:47:55
112|437|2017-03-01 03:47:33
113|114|2020-01-14 18:23:24
114|228|2016-02-21 22:28:07
115|359|2017-04-03 13:00:43
116|334|2018-04-08 00:21:03
117|349|2019-01-04 23:40:31
118|173|2018-04-17 00:53:28
119|335|2019-02-20 21:10:07
120|292|2017-02-18 16:50:42
121|343|2020-10-22 16:53:38
122|298|2022-01-24 15:04:49
123|222|2020-01-24 07:11:25
124|128|2020-01-27 18:48:29
125|456|2015-06-04 04:35:15
126|410|2021-01-19 15:19:17
127|107|2019-07-25 11:37:29
128|366|2017-11-15 10:29:43
129|51|2016-12-27 09:11:10
130|68|2019-07-06 23:39:17
131|1|2022-10-10 21:12:31
132|61|2018-03-21 00:58:57
133|81|2021-09-08 02:00:41
134|200|2022-08-02 01:17:02
135|171|2020-04-19 23:57:49
136|124|2020-02-29 09:21:33
137|218|2018-08-20 20:51:03
138|333|2018-04-20 02:47:07
139|400|2015-04-15 11:33:43
