cod_comite|cod_usuario_comite
218|183
395|82
404|52
28|306
422|281
190|122
38|98
90|89
78|497
68|170
167|128
147|295
398|413
375|248
235|269
141|266
256|101
451|223
249|145
494|133
461|151
339|86
256|74
405|77
500|31
46|241
278|19
229|87
482|375
363|417
259|270
454|123
260|294
314|480
146|320
122|346
467|121
53|168
399|265
399|67
227|430
438|249
288|330
246|403
42|229
97|163
184|155
222|489
234|119
387|406
484|428
431|297
381|126
500|291
126|229
222|1
28|169
281|297
499|449
133|281
397|199
215|345
113|330
204|309
150|408
44|165
299|251
272|230
220|364
357|198
406|73
350|409
85|18
483|299
374|500
478|166
166|239
204|77
42|336
493|259
190|158
334|351
167|390
469|361
295|128
306|441
342|153
417|237
405|82
214|33
365|437
274|407
244|42
381|127
424|134
393|303
491|205
194|432
253|8
293|58
187|380
174|16
389|469
192|404
136|223
182|267
85|370
465|120
412|23
71|134
373|62
101|296
319|397
273|265
212|351
206|468
54|289
368|415
343|237
241|19
335|125
33|79
472|45
315|212
211|15
31|204
473|265
272|149
334|448
443|268
143|249
292|162
421|251
235|152
288|200
487|55
500|341
483|307
95|365
231|426
375|133
396|119
194|434
81|495
173|228
25|175
113|336
56|356
366|147
447|407
149|82
442|228
162|194
490|97
195|366
40|383
453|243
177|33
151|419
277|486
334|426
453|343
159|279
321|201
418|357
12|481
189|474
103|23
275|328
491|4
257|105
228|219
126|447
275|50
213|409
256|432
395|118
215|347
36|220
349|237
489|464
413|454
345|439
465|222
26|42
405|210
216|209
19|96
39|193
97|318
476|322
492|113
163|281
264|36
99|313
490|290
276|402
269|194
240|91
338|341
219|462
268|472
249|393
483|239
356|174
173|148
212|422
129|99
291|304
323|407
205|50
313|346
390|375
292|385
269|182
466|184
124|372
437|154
362|35
64|419
240|188
123|484
104|174
32|368
205|274
62|497
32|418
43|392
381|402
63|332
221|437
138|312
479|342
294|442
200|169
245|309
233|402
135|200
491|407
425|430
475|181
86|304
344|117
238|455
2|377
387|15
24|31
332|304
259|417
28|342
175|120
467|187
100|361
57|206
246|209
142|235
83|79
352|24
168|183
411|219
88|52
27|230
354|86
313|370
462|191
338|76
26|182
27|254
229|154
208|357
253|135
413|30
489|364
491|80
389|492
282|19
238|477
246|364
422|52
356|348
225|415
12|127
310|181
25|42
26|271
204|423
169|314
296|496
177|166
177|197
336|200
162|379
362|323
255|86
151|277
254|20
191|85
485|179
468|50
450|275
132|192
383|441
436|100
240|301
434|390
195|393
384|18
97|363
146|342
221|292
192|295
272|283
409|186
375|486
313|484
294|445
212|186
29|53
276|440
11|285
113|16
420|350
358|267
445|132
123|223
430|303
401|441
400|299
33|42
104|32
360|284
273|373
425|93
441|317
371|230
46|159
18|30
159|105
289|419
334|255
261|174
456|349
309|176
16|277
464|205
140|97
228|472
33|469
243|267
364|497
3|91
9|193
246|263
167|28
214|169
403|407
223|443
458|139
447|172
137|449
453|24
448|445
454|25
249|116
393|449
478|477
494|429
415|98
230|8
266|297
406|92
283|396
481|497
175|240
470|102
203|23
277|205
310|286
111|347
209|294
455|185
449|301
227|125
155|398
104|78
132|336
300|232
21|112
392|208
18|437
10|443
128|166
96|308
224|283
399|384
450|15
428|341
368|437
490|185
179|344
97|323
278|278
180|314
367|281
97|451
404|477
312|20
15|100
180|445
411|76
167|10
46|10
484|40
460|353
341|290
140|375
59|37
315|289
274|402
55|6
66|179
321|73
267|220
18|313
405|60
302|387
10|481
77|94
346|481
308|447
218|309
190|125
305|182
379|280
82|131
84|202
75|137
60|459
462|407
435|44
377|380
400|295
340|494
470|255
39|367
478|186
155|203
12|211
428|470
471|15
484|140
107|261
268|1
462|98
37|271
232|339
349|327
442|91
239|339
491|151
415|137
137|476
391|274
174|8
192|90
455|368
492|198
306|205
482|118
468|166
274|283
102|65
304|243
99|492
318|379
163|449
481|378
459|453
162|374
343|160
120|30
308|81
316|326
449|13
144|87
59|53
384|25
249|178
156|412
388|197
236|228
404|152
90|463
231|170
149|90
246|488
44|349
378|410
482|435
229|446
