cod_jurado|cod_tesis|cod_usuario
1|435|331
2|286|498
3|113|480
4|379|420
5|73|289
6|17|369
7|289|450
8|183|34
9|487|260
10|30|271
11|350|481
12|445|85
13|146|500
14|162|458
15|114|183
16|260|461
17|468|410
18|191|381
19|379|307
20|408|371
21|396|256
22|288|336
23|55|344
24|291|209
25|80|88
26|458|45
27|174|296
28|401|176
29|420|141
30|248|42
31|107|148
32|455|292
33|158|53
34|442|446
35|235|446
36|492|340
37|62|68
38|203|212
39|425|395
40|82|121
41|304|203
42|27|181
43|428|410
44|479|172
45|33|114
46|343|154
47|342|461
48|242|100
49|13|132
50|193|119
51|264|4
52|448|311
53|313|21
54|494|146
55|91|50
56|346|61
57|327|174
58|414|187
59|385|274
60|197|51
61|200|47
62|70|306
63|34|423
64|399|292
65|101|114
66|221|12
67|429|113
68|332|133
69|121|24
70|463|378
71|209|354
72|34|321
73|303|385
74|271|59
75|157|343
76|320|397
77|56|315
78|499|148
79|297|173
80|205|233
81|157|54
82|383|424
83|213|314
84|251|354
85|216|340
86|397|199
87|469|8
88|297|310
89|8|301
90|22|105
91|139|367
92|154|474
93|7|257
94|316|49
95|337|278
96|486|24
97|369|85
98|448|376
99|336|394
100|93|457
101|88|71
102|22|80
103|180|65
104|155|427
105|35|344
106|338|1
107|373|197
108|209|408
109|487|356
110|101|384
111|258|491
112|290|363
113|430|36
114|72|206
115|274|370
116|270|383
117|203|446
118|168|90
119|456|157
120|219|316
121|101|200
122|84|148
123|11|427
124|394|337
125|467|59
126|435|489
127|156|452
128|139|120
129|177|181
130|327|209
131|168|144
132|251|205
133|274|92
134|361|41
135|197|93
136|242|417
137|397|274
138|390|96
139|131|418
140|258|333
141|492|172
142|310|157
143|161|465
144|456|128
145|70|301
146|338|446
147|7|231
148|98|181
149|255|265
150|59|197
151|398|6
152|498|3
153|132|152
154|236|16
155|78|91
156|475|436
157|396|199
158|478|200
159|144|81
160|115|79
161|428|32
162|54|161
163|417|219
164|165|364
165|373|150
166|495|403
167|52|388
168|192|199
169|118|51
170|90|451
171|161|296
172|360|171
173|405|222
174|115|472
175|171|24
176|302|15
177|297|198
178|313|274
179|277|101
180|266|44
181|332|341
182|487|86
183|83|22
184|228|159
185|291|174
186|311|350
187|174|11
188|365|61
189|179|162
190|27|232
191|173|127
192|12|188
193|261|289
194|340|288
195|485|92
196|419|238
197|452|191
198|237|358
199|348|318
200|396|412
201|52|274
202|181|213
203|23|279
204|334|443
205|262|286
206|74|225
207|417|12
208|42|48
209|419|170
210|277|45
211|186|188
212|464|53
213|275|325
214|6|76
215|226|59
216|11|452
217|205|343
218|46|400
219|433|352
220|194|229
221|132|43
222|19|59
223|416|166
224|156|135
225|200|4
226|416|293
227|93|184
228|365|267
229|211|433
230|391|327
231|201|260
232|478|339
233|70|417
234|460|305
235|292|90
236|490|480
237|341|148
238|109|337
239|361|313
240|478|251
241|337|407
242|67|484
243|342|448
244|145|482
245|479|437
246|78|473
247|426|142
248|69|199
249|34|394
250|468|397
251|127|51
252|350|408
253|83|98
254|378|345
255|336|421
256|232|288
257|398|277
258|300|170
259|134|180
260|202|35
261|43|148
262|124|230
263|393|227
264|180|494
265|456|267
266|37|292
267|224|202
268|355|417
269|329|482
270|158|156
271|11|377
272|174|319
273|426|28
274|275|242
275|89|447
276|392|183
277|142|138
278|374|40
279|151|57
280|451|174
281|164|112
282|304|233
283|1|462
284|387|361
285|328|172
286|218|319
287|357|135
288|408|3
289|317|431
290|356|178
291|192|470
292|225|367
293|4|333
294|73|355
295|97|387
296|266|255
297|353|332
298|259|470
299|315|382
300|70|495
301|333|333
302|401|260
303|358|217
304|319|162
305|258|25
306|136|34
307|43|83
308|186|427
309|280|253
310|407|67
311|205|486
312|124|71
313|40|38
314|40|488
315|176|76
316|24|412
317|283|77
318|203|436
319|106|111
320|217|384
321|191|139
322|312|166
323|304|237
324|263|482
325|499|121
326|471|232
327|80|185
328|480|85
329|247|350
330|173|217
331|121|46
332|137|490
333|6|103
334|386|205
335|85|437
336|384|227
337|239|288
338|395|180
339|467|20
340|435|364
341|332|83
342|242|429
343|50|456
344|458|279
345|368|238
346|212|163
347|418|413
348|265|459
349|171|280
350|156|399
351|388|201
352|341|238
353|135|18
354|58|301
355|344|435
356|85|409
357|407|324
358|2|445
359|23|249
360|328|202
361|188|405
362|83|109
363|207|339
364|408|352
365|367|349
366|184|99
367|129|326
368|207|177
369|40|52
370|451|302
371|440|472
372|29|231
373|98|449
374|317|179
375|433|38
376|426|390
377|291|223
378|443|85
379|171|401
380|456|446
381|476|110
382|45|495
383|470|489
384|259|37
385|171|306
386|26|437
387|371|136
388|135|22
389|328|391
390|422|282
391|463|136
392|420|469
393|192|107
394|349|219
395|368|14
396|433|158
397|219|4
398|219|29
399|462|165
400|268|362
401|107|164
402|63|364
403|390|73
404|410|168
405|41|428
406|245|271
407|40|335
408|220|218
409|77|289
410|59|52
411|8|350
412|238|336
413|341|411
414|55|383
415|493|165
416|120|93
417|73|316
418|66|343
419|255|258
420|223|96
421|7|151
422|190|425
423|56|476
424|368|166
425|475|234
426|48|234
427|404|324
428|412|437
429|271|478
430|350|457
431|477|174
432|68|310
433|162|85
434|100|64
435|71|297
436|178|280
437|81|448
438|194|154
439|164|493
440|432|6
441|231|445
442|34|403
443|148|70
444|119|30
445|439|231
446|196|241
447|20|464
448|263|338
449|134|265
450|228|257
451|352|25
452|255|66
453|292|282
454|162|264
455|225|129
456|422|279
457|84|307
458|254|310
459|9|13
460|194|451
461|40|210
462|401|305
463|262|150
464|225|37
465|122|412
466|39|55
467|417|297
468|32|228
469|338|279
470|50|168
471|385|337
472|281|149
473|478|28
474|40|97
475|126|410
476|107|67
477|58|340
478|67|45
479|194|99
480|113|309
481|1|482
482|389|36
483|260|423
484|356|177
485|330|274
486|346|324
487|265|241
488|443|475
489|329|358
490|499|276
491|300|224
492|74|303
493|477|440
494|254|170
495|1|27
496|165|140
497|59|421
498|224|226
499|314|359
500|319|493
