cod_revision_asesor|cod_asesor|cod_tesis|fecha|corregido
1|94|286|2021-11-26 07:45:35|true
2|401|126|2020-10-28 10:41:14|true
3|344|75|2007-08-02 00:34:05|false
4|87|133|2000-04-09 21:32:14|false
5|145|402|2018-11-09 05:53:12|false
6|120|12|2016-10-28 13:41:15|false
7|348|196|2014-07-04 16:23:59|false
8|393|447|2015-11-08 19:31:28|true
9|478|327|2000-10-09 13:47:29|true
10|98|372|2002-04-26 22:59:12|false
11|80|256|2005-08-30 01:28:51|true
12|293|432|2004-04-18 22:05:23|false
13|328|270|2013-10-05 11:08:00|true
14|410|422|2012-07-22 17:52:14|true
15|341|428|2020-07-21 04:29:45|false
16|391|288|2012-01-20 16:36:10|true
17|179|459|2003-03-10 06:23:39|false
18|426|147|2018-03-24 09:46:42|true
19|62|155|2014-04-11 18:27:23|true
20|165|128|2020-08-02 22:54:27|true
21|72|58|2018-12-24 02:40:48|true
22|230|62|2006-07-15 07:01:51|true
23|403|59|2004-02-15 06:05:21|false
24|381|99|2008-11-27 16:25:20|false
25|330|212|2000-03-22 22:03:59|true
26|317|439|2007-04-25 14:34:57|true
27|145|192|2010-07-15 17:46:12|false
28|263|395|2000-08-27 21:26:12|false
29|460|397|2010-05-19 23:15:26|false
30|94|59|2021-07-01 15:03:47|false
31|108|96|2007-07-28 21:53:54|false
32|412|319|2004-03-14 10:35:20|true
33|452|401|2004-01-16 18:37:44|false
34|244|260|2018-02-06 01:41:05|false
35|114|333|2011-02-04 08:51:24|false
36|356|480|2000-04-29 20:02:21|false
37|484|151|2010-08-12 12:02:19|true
38|22|467|2020-05-07 22:36:51|true
39|10|125|2006-07-15 02:51:07|true
40|312|441|2017-08-10 16:10:37|false
41|93|41|2013-06-25 10:44:13|false
42|308|377|2021-08-21 00:41:12|true
43|358|428|2000-07-22 12:11:00|false
44|152|66|2012-05-19 11:11:01|false
45|371|237|2008-06-11 22:03:20|true
46|378|124|2010-08-03 02:52:00|true
47|248|424|2015-03-14 17:50:13|false
48|108|29|2014-07-11 17:49:39|true
49|127|122|2022-12-09 20:26:14|false
50|271|378|2001-10-15 04:17:58|false
51|404|200|2003-03-30 13:39:03|true
52|63|91|2004-11-16 05:37:15|false
53|411|243|2017-12-03 19:12:05|true
54|369|37|2004-03-18 10:22:14|true
55|32|174|2014-05-13 03:17:23|false
56|56|383|2022-12-15 03:51:08|true
57|381|378|2014-04-14 08:03:49|false
58|269|328|2010-12-04 15:48:53|true
59|186|448|2021-09-07 11:33:36|false
60|428|277|2020-10-09 20:04:25|true
61|45|301|2007-08-09 20:37:53|true
62|231|432|2015-07-31 20:58:32|false
63|329|450|2022-05-31 19:53:26|false
64|231|420|2021-01-22 20:16:13|false
65|102|20|2022-05-27 03:57:12|true
66|491|254|2017-11-22 20:54:24|true
67|24|97|2014-10-22 05:10:24|false
68|418|418|2006-02-16 22:58:01|true
69|11|206|2009-07-15 02:24:17|true
70|66|490|2005-02-09 18:26:07|true
71|183|235|2018-08-04 02:47:29|true
72|497|346|2006-10-25 05:23:06|true
73|19|306|2005-10-31 03:32:04|true
74|37|368|2010-05-10 16:52:39|false
75|203|35|2005-11-23 02:19:26|true
76|97|371|2022-01-06 03:43:20|true
77|403|442|2000-08-02 18:01:50|true
78|333|422|2011-04-11 13:54:52|false
79|406|419|2019-04-19 17:49:04|true
80|266|494|2020-09-19 12:13:56|false
81|466|238|2013-01-11 17:31:56|false
82|452|9|2001-05-14 09:33:50|false
83|279|155|2011-08-02 04:49:07|true
84|41|472|2000-05-06 18:54:27|true
85|211|318|2015-08-25 11:04:34|true
86|91|399|2007-06-09 02:59:54|true
87|194|272|2008-04-05 16:00:39|false
88|2|244|2020-06-12 22:27:19|false
89|498|45|2004-03-14 19:45:15|true
90|354|120|2021-02-01 14:23:15|false
91|18|68|2005-08-05 15:26:47|true
92|408|331|2010-02-11 18:11:39|false
93|483|82|2002-10-29 18:31:50|true
94|67|226|2003-05-15 08:20:02|true
95|357|143|2012-02-11 09:59:58|true
96|182|295|2011-10-26 00:32:44|false
97|353|460|2017-03-04 03:35:29|false
98|350|33|2013-11-09 16:41:46|false
99|128|371|2022-02-24 10:37:42|false
100|265|434|2013-01-05 19:15:02|false
