cod_revision_comite|cod_comite|cod_tramite|fecha|corregido
1|313|112|2021-06-10 01:07:42|true
2|437|2|2017-08-28 00:44:26|true
3|203|345|2015-05-10 05:41:00|true
4|455|179|2022-07-01 15:36:21|false
5|425|78|2021-08-12 05:45:34|true
6|422|233|2018-05-28 01:48:17|false
7|30|230|2021-04-28 22:37:53|true
8|386|344|2015-05-16 00:35:24|false
9|194|12|2022-04-11 07:11:29|false
10|134|118|2017-02-09 01:15:17|false
11|406|111|2020-08-19 05:44:16|true
12|323|302|2016-04-28 09:25:04|false
13|474|284|2015-05-26 10:24:18|true
14|215|490|2019-12-26 10:49:44|true
15|80|113|2016-12-30 11:29:10|true
16|312|290|2022-01-11 21:26:59|false
17|321|51|2020-10-29 22:59:36|false
18|373|490|2017-10-16 12:10:35|true
19|99|251|2019-07-03 19:12:53|true
20|328|228|2018-10-11 17:00:22|false
21|367|273|2015-07-15 19:19:14|true
22|172|267|2016-01-23 12:20:37|false
23|187|184|2017-04-17 07:33:53|true
24|199|355|2022-10-07 13:35:49|false
25|285|71|2017-02-02 00:43:54|false
26|410|43|2015-11-05 06:08:24|true
27|154|405|2022-07-29 00:56:15|true
28|31|162|2022-03-09 07:18:08|true
29|114|427|2015-12-06 16:46:45|true
30|411|483|2017-06-14 09:11:08|false
31|490|157|2022-09-15 22:01:37|true
32|335|467|2016-11-17 10:18:15|true
33|388|495|2018-12-23 06:26:12|false
34|12|439|2020-06-06 04:16:41|true
35|363|451|2017-07-12 16:38:29|true
36|464|350|2021-09-22 05:46:14|true
37|77|318|2018-03-08 17:22:13|true
38|331|121|2021-03-12 08:07:36|true
39|377|213|2022-06-21 15:18:41|false
40|2|232|2018-02-05 06:28:40|true
41|377|464|2015-08-20 14:18:35|false
42|95|420|2020-04-29 17:05:38|true
43|364|357|2019-09-15 22:22:26|false
44|435|223|2017-01-29 13:35:23|false
45|125|465|2020-03-08 02:16:38|true
46|320|191|2015-08-28 20:49:15|false
47|392|142|2021-08-28 10:18:33|true
48|206|364|2016-03-15 22:32:27|true
49|325|337|2019-04-28 15:12:03|false
50|488|419|2015-02-09 09:44:30|false
51|393|158|2019-01-01 01:10:12|false
52|345|191|2017-02-10 21:50:52|false
53|298|7|2015-10-20 21:12:55|false
54|181|9|2015-01-31 10:54:00|true
55|99|216|2017-07-22 13:52:04|false
56|396|262|2017-02-11 08:44:32|true
57|336|146|2020-02-21 11:18:21|true
58|487|495|2017-05-27 22:41:29|false
59|10|491|2017-01-09 00:02:01|true
60|193|55|2019-09-08 19:36:48|true
61|480|298|2021-12-19 12:32:48|false
62|159|281|2016-01-03 18:11:17|false
63|419|66|2015-11-05 00:47:35|false
64|444|293|2020-02-05 03:59:37|false
65|91|144|2017-08-26 18:50:53|false
66|169|153|2020-08-20 09:58:55|true
67|439|499|2016-09-03 00:20:55|false
68|308|137|2020-07-25 11:56:25|false
69|73|201|2015-02-25 14:06:00|true
70|478|339|2019-05-22 05:10:19|true
71|335|500|2020-11-25 20:10:11|true
72|442|445|2019-04-02 11:03:44|true
73|432|53|2022-12-24 02:25:59|false
74|437|66|2018-06-30 10:48:56|true
75|393|448|2017-10-12 15:04:43|true
76|321|397|2017-05-24 02:38:21|true
77|444|309|2017-08-12 07:00:52|false
78|419|140|2015-06-27 08:04:38|true
79|389|175|2020-11-19 17:06:35|true
80|401|318|2021-02-17 22:20:09|false
81|72|18|2019-11-25 03:22:41|false
82|9|95|2015-09-17 23:25:01|true
83|243|358|2019-01-25 16:42:34|true
84|149|174|2022-04-08 02:56:13|true
85|182|61|2016-08-31 07:31:46|false
86|296|313|2016-11-26 13:28:07|false
87|462|148|2020-10-13 06:41:58|false
88|487|222|2018-10-11 20:45:43|true
89|461|22|2015-06-13 10:32:58|false
90|229|10|2020-07-09 13:45:16|false
91|500|222|2021-01-07 20:42:05|false
92|114|494|2018-05-26 01:18:21|false
93|365|154|2021-11-28 06:25:36|true
94|373|1|2017-11-14 07:18:09|false
95|306|323|2015-12-02 10:29:02|true
96|302|79|2016-12-15 19:20:50|false
97|86|366|2016-08-05 10:07:31|true
98|377|464|2020-03-18 06:31:19|true
99|11|122|2022-11-16 19:01:49|false
100|172|348|2019-06-26 09:49:05|false
101|238|62|2019-10-09 22:51:27|true
102|157|43|2022-08-16 17:28:36|false
103|398|303|2016-11-02 07:05:36|true
104|408|205|2019-07-14 02:21:00|true
105|386|304|2020-09-04 09:56:10|true
106|65|326|2020-05-23 21:03:40|false
107|86|202|2016-12-06 17:51:46|false
108|350|36|2018-08-01 05:56:49|true
109|478|423|2021-10-25 04:43:37|false
110|170|131|2015-10-26 13:11:10|false
111|282|129|2015-09-23 05:41:02|true
112|25|497|2018-04-09 11:14:18|false
113|295|17|2019-06-03 19:05:33|false
114|106|205|2015-08-24 15:07:52|false
115|475|47|2018-12-09 07:28:39|false
116|215|307|2019-09-05 19:06:33|true
117|201|233|2022-03-03 01:07:13|true
118|93|125|2015-11-18 05:07:00|true
119|381|437|2018-09-20 01:38:47|false
120|461|216|2017-07-07 04:51:57|false
121|71|75|2016-03-01 07:36:12|true
122|316|429|2019-12-30 06:54:36|true
123|324|437|2020-08-22 05:14:31|false
