cod_revision_jurado|cod_jurado|cod_tesis|fecha|corregido
1|472|399|2016-08-25 17:15:57|false
2|462|402|2018-04-17 02:51:13|true
3|412|306|2017-07-17 01:41:05|true
4|365|223|2018-09-17 22:31:04|true
5|412|322|2021-11-15 07:09:04|true
6|447|327|2016-06-24 19:31:52|false
7|78|477|2019-02-27 14:40:13|true
8|169|131|2021-01-15 21:30:02|true
9|424|355|2016-07-13 12:47:18|true
10|113|158|2022-10-10 20:27:23|false
11|267|424|2020-06-01 01:22:05|false
12|353|54|2015-08-13 15:58:46|false
13|308|164|2018-03-31 20:55:24|false
14|417|346|2021-07-30 20:44:02|true
15|410|333|2020-01-15 07:32:18|true
16|306|471|2022-03-04 09:59:03|false
17|330|254|2021-08-09 06:02:45|true
18|250|32|2018-09-26 10:31:53|true
19|384|29|2017-01-05 23:57:14|true
20|153|327|2021-01-04 05:49:18|false
21|421|125|2015-07-24 22:13:55|false
22|400|241|2021-05-25 04:26:18|true
23|480|430|2021-10-26 19:40:11|true
24|70|75|2020-03-01 07:25:18|true
25|462|418|2021-02-22 23:21:54|false
26|170|184|2020-01-05 20:14:37|true
27|138|404|2015-10-20 07:56:04|true
28|2|12|2020-04-06 17:21:01|false
29|326|37|2022-06-03 10:28:03|false
30|123|191|2018-05-25 06:22:54|true
31|125|148|2019-09-12 05:13:10|true
32|26|29|2019-11-01 12:56:06|false
33|189|206|2017-01-02 03:32:46|false
34|41|161|2015-04-13 23:43:17|true
35|290|454|2019-11-23 11:40:23|true
36|142|433|2016-07-29 13:32:04|false
37|99|431|2016-06-24 04:25:38|true
38|199|96|2022-10-13 04:09:56|true
39|230|246|2018-04-11 17:27:32|false
40|375|49|2019-02-14 15:18:33|true
41|499|437|2018-03-23 06:10:27|false
42|368|433|2016-10-31 05:31:56|false
43|241|422|2015-06-02 21:11:36|false
44|316|488|2020-09-02 14:10:27|false
45|494|144|2022-12-14 12:28:01|true
46|149|189|2015-05-13 14:09:21|false
47|477|53|2019-05-17 22:25:31|false
48|150|319|2022-06-24 12:59:44|false
49|238|331|2019-02-14 04:06:51|false
50|135|460|2018-10-27 15:02:22|true
51|413|4|2019-12-10 19:35:09|true
52|338|363|2019-08-04 14:29:01|true
53|4|346|2020-06-06 02:32:18|false
54|232|335|2017-01-13 00:04:01|false
55|324|462|2015-11-09 19:34:23|false
56|244|220|2018-01-15 00:02:05|false
57|295|214|2018-06-02 14:32:46|false
58|187|372|2019-09-22 16:04:21|true
59|378|231|2015-12-17 21:36:44|true
60|275|9|2021-04-17 14:34:46|true
61|263|137|2022-04-21 08:43:24|false
62|238|127|2016-05-09 14:34:23|true
63|200|68|2018-12-05 02:58:28|false
64|437|401|2015-11-06 03:49:34|false
65|341|51|2015-06-06 01:23:07|true
66|82|472|2015-06-06 12:53:34|false
67|184|133|2022-12-14 21:08:40|false
68|471|329|2015-05-27 11:59:33|false
69|204|36|2016-10-11 12:00:32|true
70|128|40|2017-08-11 07:28:51|true
71|133|212|2016-04-23 21:11:04|false
72|484|431|2020-10-09 16:12:31|true
73|302|258|2016-08-21 21:42:02|true
74|125|226|2020-05-01 08:35:32|true
75|127|36|2019-01-17 16:49:12|true
76|50|18|2019-10-09 00:04:31|false
77|5|305|2022-04-25 11:26:53|true
78|343|405|2021-08-30 06:08:16|false
79|153|149|2021-07-12 12:07:41|false
80|205|275|2018-12-29 02:33:19|true
81|295|317|2019-08-20 11:14:03|false
82|278|488|2020-03-13 06:02:29|true
83|147|131|2019-11-19 22:52:29|false
84|495|349|2018-07-17 05:35:05|true
85|10|16|2021-01-03 02:04:06|false
86|332|31|2016-10-14 15:28:39|true
87|232|148|2018-04-06 20:57:31|false
88|270|108|2016-05-13 06:41:32|false
89|450|50|2020-06-19 16:35:14|true
90|33|422|2017-02-24 09:51:30|false
91|82|385|2015-05-03 22:16:21|false
92|469|213|2019-07-08 19:27:58|false
93|198|396|2022-01-15 10:45:44|true
94|264|259|2018-07-09 09:27:14|false
95|63|297|2016-05-13 06:39:12|true
96|328|443|2021-08-03 10:09:42|false
97|254|297|2016-02-06 10:13:29|true
98|96|70|2020-01-13 02:29:17|false
99|28|186|2020-03-11 21:29:32|true
100|359|467|2018-07-25 01:39:22|false
101|6|474|2020-06-09 18:13:26|false
102|79|482|2017-11-17 00:28:14|true
103|252|113|2018-12-16 10:01:12|true
104|273|476|2019-07-15 11:49:39|true
105|153|236|2015-06-27 10:08:33|false
106|81|338|2016-07-18 03:57:19|false
107|482|100|2019-10-15 12:29:06|true
108|157|135|2022-02-18 17:21:54|false
109|237|133|2019-06-16 09:58:44|true
110|46|325|2018-10-13 23:46:41|false
111|497|34|2017-12-21 03:55:04|true
112|166|278|2022-06-06 17:45:42|false
113|388|79|2018-09-15 12:00:52|true
114|38|24|2021-07-23 09:45:26|true
115|240|126|2022-04-11 13:10:24|false
116|243|270|2018-01-24 00:58:30|true
117|443|168|2018-04-26 09:25:00|true
118|128|33|2016-05-11 21:39:24|true
119|488|24|2017-07-09 16:22:37|false
120|54|401|2021-07-23 08:41:28|false
121|407|58|2018-09-23 09:22:26|false
122|334|176|2016-02-16 14:50:54|true
123|334|112|2019-11-06 01:35:58|false
124|219|424|2018-02-12 03:39:57|true
125|198|396|2019-01-09 06:45:33|false
126|19|498|2015-06-14 23:00:06|true
127|154|421|2017-04-04 03:41:23|false
128|423|341|2019-03-11 07:17:49|true
129|448|196|2016-02-18 09:23:39|false
130|251|457|2017-08-04 19:44:25|false
131|240|215|2015-11-17 03:03:45|false
132|311|330|2021-08-26 07:25:36|false
133|108|333|2018-03-07 06:02:14|false
134|70|113|2015-04-11 06:53:51|false
135|31|4|2020-02-29 05:33:11|false
136|159|49|2017-02-02 11:39:04|true
137|262|15|2017-11-11 07:28:02|true
138|31|398|2015-03-02 10:04:48|true
139|60|450|2019-08-19 12:10:34|true
140|102|201|2022-11-29 01:44:25|true
141|144|313|2021-08-19 19:22:31|true
142|358|93|2018-08-21 16:18:15|true
143|393|81|2021-10-28 01:43:13|true
144|48|271|2019-04-17 15:59:01|true
145|62|468|2021-11-14 06:19:40|false
146|132|321|2019-02-27 02:00:08|false
147|290|424|2016-05-13 05:56:04|true
148|3|226|2017-12-10 23:43:46|false
149|5|468|2019-05-01 15:50:05|false
150|493|158|2022-02-07 01:12:40|false
151|440|289|2021-11-30 20:15:52|true
152|75|176|2015-04-28 11:52:19|true
153|467|259|2020-02-23 11:23:34|true
154|422|324|2016-07-15 16:49:18|true
