cod_rol_jurado|cod_jurado|tipo_rol
1|138|PRESIDENTE
2|205|SUPLENTE
3|137|SUPLENTE
4|491|VOCAL
5|334|PRESIDENTE
6|180|PRESIDENTE
7|74|PRESIDENTE
8|266|PRESIDENTE
9|37|PRESIDENTE
10|327|SUPLENTE
11|221|SECRETARIO
12|24|SUPLENTE
13|239|SECRETARIO
14|298|VOCAL
15|423|VOCAL
16|114|SECRETARIO
17|457|VOCAL
18|343|VOCAL
19|38|VOCAL
20|244|SUPLENTE
21|323|SECRETARIO
22|166|VOCAL
23|263|SECRETARIO
24|382|VOCAL
25|453|PRESIDENTE
26|34|SUPLENTE
27|202|PRESIDENTE
28|86|SUPLENTE
29|324|SUPLENTE
30|305|SECRETARIO
31|158|SUPLENTE
32|336|VOCAL
33|282|SUPLENTE
34|359|SUPLENTE
35|308|VOCAL
36|62|SUPLENTE
37|168|SECRETARIO
38|341|PRESIDENTE
39|367|VOCAL
40|412|SUPLENTE
41|320|SUPLENTE
42|457|VOCAL
43|228|PRESIDENTE
44|325|SECRETARIO
45|411|SUPLENTE
46|248|PRESIDENTE
47|262|SUPLENTE
48|156|PRESIDENTE
49|365|VOCAL
50|100|SECRETARIO
51|497|SECRETARIO
52|276|SECRETARIO
53|106|SECRETARIO
54|416|VOCAL
55|498|VOCAL
56|133|SECRETARIO
57|406|SECRETARIO
58|275|SUPLENTE
59|386|SUPLENTE
60|98|SECRETARIO
61|84|PRESIDENTE
62|3|SUPLENTE
63|222|SUPLENTE
64|145|VOCAL
65|134|PRESIDENTE
66|435|PRESIDENTE
67|271|PRESIDENTE
68|83|SECRETARIO
69|444|PRESIDENTE
70|52|PRESIDENTE
71|259|SUPLENTE
72|6|VOCAL
73|286|SUPLENTE
74|326|SUPLENTE
75|60|VOCAL
76|425|SECRETARIO
77|7|SUPLENTE
78|500|PRESIDENTE
79|459|SUPLENTE
80|426|PRESIDENTE
81|370|PRESIDENTE
82|37|SUPLENTE
83|31|SUPLENTE
84|85|SECRETARIO
85|228|SECRETARIO
86|244|VOCAL
87|436|PRESIDENTE
88|211|SUPLENTE
89|110|VOCAL
90|148|SUPLENTE
91|115|SUPLENTE
92|280|PRESIDENTE
93|8|SECRETARIO
94|4|SECRETARIO
95|15|PRESIDENTE
96|281|VOCAL
97|397|SECRETARIO
98|37|VOCAL
99|497|VOCAL
100|191|SUPLENTE
101|251|PRESIDENTE
102|310|SUPLENTE
103|339|SUPLENTE
104|265|PRESIDENTE
105|230|SUPLENTE
106|288|SECRETARIO
107|214|PRESIDENTE
108|148|VOCAL
109|10|PRESIDENTE
110|446|SECRETARIO
111|96|VOCAL
112|174|VOCAL
113|59|PRESIDENTE
114|260|SUPLENTE
115|44|VOCAL
116|30|PRESIDENTE
117|51|SUPLENTE
118|62|VOCAL
119|50|SUPLENTE
120|424|SECRETARIO
121|54|VOCAL
122|389|PRESIDENTE
123|205|PRESIDENTE
124|106|SECRETARIO
125|223|PRESIDENTE
126|28|SECRETARIO
127|111|SUPLENTE
128|451|SUPLENTE
129|61|VOCAL
130|221|SUPLENTE
131|398|VOCAL
132|259|VOCAL
133|127|VOCAL
134|388|SUPLENTE
135|69|SECRETARIO
136|388|SECRETARIO
137|200|VOCAL
138|69|PRESIDENTE
139|382|SECRETARIO
140|76|SECRETARIO
141|312|PRESIDENTE
142|241|VOCAL
143|379|SUPLENTE
144|139|PRESIDENTE
145|476|VOCAL
146|329|SUPLENTE
147|398|VOCAL
148|188|SECRETARIO
149|173|SUPLENTE
150|258|VOCAL
151|257|VOCAL
152|132|VOCAL
153|381|SECRETARIO
154|263|VOCAL
155|94|PRESIDENTE
156|136|VOCAL
157|414|SUPLENTE
158|110|PRESIDENTE
159|444|PRESIDENTE
160|196|SECRETARIO
161|361|SECRETARIO
162|311|SUPLENTE
163|179|SUPLENTE
164|123|PRESIDENTE
165|354|PRESIDENTE
166|417|SECRETARIO
167|293|VOCAL
168|288|PRESIDENTE
169|382|PRESIDENTE
170|332|SUPLENTE
171|205|PRESIDENTE
172|73|PRESIDENTE
173|252|SECRETARIO
174|6|VOCAL
175|223|PRESIDENTE
176|255|PRESIDENTE
177|423|VOCAL
178|216|VOCAL
179|194|PRESIDENTE
180|292|PRESIDENTE
181|300|SUPLENTE
