cod_tesis|cod_usuario|cod_tramite|estado|titulo|fecha_inicio|fecha_fin|versionInicial
1|473|364|PARA SUSTENTACION|Suspendisse ornare consequat lectus.|2022-04-21 23:27:40|2016-01-08 06:54:06|QuamTurpis.avi
2|125|410|EN PROCESO|Ut tellus.|2021-11-02 18:43:25|2019-07-29 01:02:39|AtDolorQuis.avi
3|237|132|RECHAZADO|Lorem ipsum dolor sit amet, consectetuer adipiscing elit.|2018-07-14 13:38:28|2021-01-22 04:47:33|VivamusVestibulum.ppt
4|233|289|PARA SUSTENTACION|Nullam varius.|2015-06-15 17:10:52|2015-11-15 02:10:46|Accumsan.ppt
5|25|139|APROBADO ASESOR|Cras non velit nec nisi vulputate nonummy.|2019-06-01 19:34:44|2017-08-02 07:01:26|Nec.mp3
6|192|266|APROBADO ASESOR|Phasellus sit amet erat.|2020-10-04 11:39:51|2016-09-16 11:36:04|Ut.xls
7|263|74|PARA SUSTENTACION|Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.|2017-05-03 10:04:01|2018-08-19 02:24:34|UtMassa.avi
8|131|68|APROBADO ASESOR|Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.|2019-09-14 03:41:37|2017-10-29 13:29:50|OrnareConsequat.avi
9|56|171|EN PROCESO|Maecenas rhoncus aliquam lacus.|2018-10-29 16:22:41|2018-08-09 23:10:59|ViverraDiamVitae.avi
10|78|374|RECHAZADO|Mauris ullamcorper purus sit amet nulla.|2021-01-18 07:23:36|2021-12-07 22:02:51|OdioConsequatVarius.avi
11|172|106|EN PROCESO|Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.|2016-12-18 04:12:16|2020-04-11 23:16:31|AliquamNon.xls
12|317|308|PARA SUSTENTACION|In hac habitasse platea dictumst.|2020-02-29 16:19:31|2019-07-31 17:20:20|In.xls
13|28|316|EN PROCESO|Integer tincidunt ante vel ipsum.|2016-06-17 04:06:12|2017-07-24 02:31:16|PraesentIdMassa.mp3
14|437|106|EN PROCESO|Maecenas pulvinar lobortis est.|2021-04-03 00:08:28|2017-09-15 23:45:43|QuamAOdio.doc
15|485|70|APROBADO ASESOR|Lorem ipsum dolor sit amet, consectetuer adipiscing elit.|2015-09-21 19:12:38|2022-07-26 17:46:14|LoremIntegerTincidunt.jpeg
16|241|484|PARA SUSTENTACION|Vestibulum ac est lacinia nisi venenatis tristique.|2018-02-21 12:40:40|2017-11-17 05:19:20|MattisEgestasMetus.xls
