cod_tramite|cod_usuario|estado|fecha_registro|cod_asesor_propuesto|versionInicial
1|493|APROBADO|2022-11-13 03:26:00|36|NibhFusce.avi
2|429|RECHAZADO|2019-03-31 09:52:08|47|IdLigulaSuspendisse.xls
3|462|RECHAZADO|2017-04-27 17:07:56|408|MaurisLaoreetUt.txt
4|154|EN PROCESO|2020-06-06 14:57:33|148|VestibulumRutrum.avi
5|76|APROBADO|2019-12-03 23:29:15|123|Dolor.ppt
6|327|EN PROCESO|2015-10-11 14:01:49|136|AcDiamCras.ppt
7|37|RECHAZADO|2017-04-12 19:48:25|134|PotentiNullam.png
8|307|RECHAZADO|2018-10-29 11:16:50|173|MolestieHendreritAt.gif
9|482|APROBADO|2019-01-06 16:04:04|363|InEst.jpeg
10|388|EN PROCESO|2016-03-06 17:12:04|269|EgetNuncDonec.avi
11|161|APROBADO|2017-07-12 14:32:27|277|UltriciesEu.xls
12|30|APROBADO|2015-04-12 08:49:55|183|OdioPorttitorId.ppt
13|417|EN PROCESO|2021-06-20 11:40:46|436|DuiVelSem.mp3
14|414|RECHAZADO|2022-09-02 14:03:53|119|UtMassa.ppt
15|431|EN PROCESO|2021-08-18 16:36:51|46|DonecQuisOrci.mp3
16|362|EN PROCESO|2017-09-11 13:17:27|440|Nullam.mp3
17|450|EN PROCESO|2015-06-24 22:27:24|458|In.xls
18|222|RECHAZADO|2017-09-12 06:24:52|180|AcNeque.xls
19|360|RECHAZADO|2018-07-15 15:30:48|254|NisiVolutpat.mp3
20|462|EN PROCESO|2021-04-08 15:58:21|481|Neque.ppt
21|180|APROBADO|2016-12-09 17:00:59|437|AmetJustoMorbi.xls
22|66|EN PROCESO|2019-06-21 05:21:42|158|VestibulumProin.xls
23|234|APROBADO|2021-01-18 15:40:44|496|Semper.tiff
24|269|EN PROCESO|2016-06-20 20:13:50|497|MassaVolutpat.xls
25|251|APROBADO|2017-11-09 17:10:50|309|RhoncusSed.ppt
26|67|APROBADO|2018-04-12 07:21:11|370|Nulla.gif
27|156|APROBADO|2016-08-23 20:24:33|141|NasceturRidiculusMus.xls
28|319|APROBADO|2019-08-31 10:26:57|128|Hac.mp3
29|399|RECHAZADO|2016-04-12 12:17:20|24|Magna.gif
30|360|EN PROCESO|2017-06-22 05:37:21|207|FuscePosuereFelis.png
31|295|APROBADO|2022-09-30 06:19:53|296|EratVolutpat.gif
32|323|APROBADO|2016-10-21 16:40:50|365|LeoRhoncusSed.avi
33|129|RECHAZADO|2020-10-24 08:51:28|83|BlanditMiIn.xls
34|460|APROBADO|2019-06-27 03:30:29|159|Diam.tiff
35|216|EN PROCESO|2022-07-16 13:56:35|393|Odio.avi
36|441|EN PROCESO|2022-01-07 08:24:08|321|Dictumst.mp3
37|156|EN PROCESO|2015-05-23 16:15:25|107|DolorMorbi.xls
38|200|RECHAZADO|2022-08-12 02:37:00|500|TortorRisusDapibus.png
39|84|RECHAZADO|2022-09-18 16:48:36|127|A.avi
40|314|RECHAZADO|2019-11-21 10:45:23|58|MetusSapien.xls
41|197|RECHAZADO|2018-01-03 18:13:11|26|Turpis.mp3
42|233|EN PROCESO|2020-08-20 07:58:56|215|LeoOdio.mp3
43|215|RECHAZADO|2018-07-31 23:40:42|292|VulputateUtUltrices.png
44|366|APROBADO|2015-03-15 22:58:30|225|Est.ppt
45|244|RECHAZADO|2019-02-28 04:21:57|207|DiamIdOrnare.xls
46|233|EN PROCESO|2015-06-03 22:01:04|375|Mi.mov
47|483|RECHAZADO|2022-05-12 20:47:18|294|Ipsum.ppt
48|356|APROBADO|2019-01-13 06:15:10|408|Fusce.mov
49|418|EN PROCESO|2019-09-06 22:38:24|124|UtVolutpat.mp3
50|286|APROBADO|2020-09-21 15:25:07|370|ConsequatDui.ppt
51|208|EN PROCESO|2015-02-23 02:26:11|287|LuctusNecMolestie.ppt
52|304|APROBADO|2022-07-29 02:41:49|301|IdOrnare.png
53|303|EN PROCESO|2017-07-27 02:57:38|357|Congue.png
54|481|RECHAZADO|2021-05-21 05:57:16|14|Nulla.xls
55|129|APROBADO|2015-11-29 03:45:57|444|Ornare.jpeg
56|135|RECHAZADO|2015-01-05 17:33:03|487|NecMolestieSed.xls
57|32|EN PROCESO|2019-04-28 17:11:28|157|UltricesPosuereCubilia.avi
58|33|EN PROCESO|2018-04-09 18:36:13|149|SitAmet.mov
59|499|EN PROCESO|2021-08-30 19:44:33|267|AtLoremInteger.doc
60|172|EN PROCESO|2015-01-29 07:32:24|454|Sapien.mp3
61|385|RECHAZADO|2020-11-08 05:49:39|152|Sit.tiff
62|83|APROBADO|2017-12-26 04:38:59|174|Primis.ppt
63|451|APROBADO|2016-06-26 18:33:00|197|EnimLoremIpsum.xls
64|415|RECHAZADO|2022-10-05 08:35:54|328|QuisAugue.pdf
65|93|RECHAZADO|2019-02-05 08:21:39|23|VestibulumAnte.mp3
66|154|RECHAZADO|2020-08-28 18:31:36|18|Consequat.mov
67|380|EN PROCESO|2018-04-25 13:01:32|464|OdioPorttitor.mp3
68|376|APROBADO|2018-08-29 12:20:34|152|VestibulumQuamSapien.mp3
69|245|RECHAZADO|2015-09-23 04:09:27|445|AeneanFermentumDonec.txt
70|383|APROBADO|2015-03-16 09:11:41|270|UtMassa.mpeg
71|473|EN PROCESO|2017-06-11 20:58:19|227|MetusAenean.tiff
72|438|EN PROCESO|2018-12-08 16:57:30|302|A.tiff
73|480|APROBADO|2017-06-14 02:36:06|437|DuisAt.jpeg
74|199|EN PROCESO|2022-07-01 02:44:30|383|NisiVenenatisTristique.png
75|51|EN PROCESO|2020-04-16 19:02:27|372|NislNuncNisl.mov
76|238|RECHAZADO|2017-05-12 21:22:02|109|EtiamPretiumIaculis.pdf
77|164|EN PROCESO|2020-05-13 04:50:17|343|NonQuamNec.avi
78|254|APROBADO|2018-04-30 07:37:38|470|BibendumMorbiNon.xls
79|51|RECHAZADO|2019-07-07 22:44:27|222|Nulla.mpeg
80|398|EN PROCESO|2022-06-24 04:19:27|395|Magna.xls
81|58|APROBADO|2020-12-03 11:58:46|48|Eu.avi
82|214|RECHAZADO|2019-08-31 22:29:43|245|Erat.mp3
83|219|APROBADO|2022-02-02 06:24:59|64|RisusPraesent.doc
84|447|RECHAZADO|2018-04-29 18:32:24|415|ViverraDiam.avi
85|67|RECHAZADO|2022-09-21 05:54:14|381|VestibulumProinEu.xls
86|77|EN PROCESO|2019-12-13 15:06:39|367|HacHabitassePlatea.tiff
87|28|APROBADO|2017-03-07 23:54:29|220|PorttitorLacusAt.txt
88|48|APROBADO|2019-07-09 12:09:10|422|VolutpatErat.jpeg
89|318|EN PROCESO|2020-02-25 01:57:35|76|SodalesScelerisque.png
90|416|RECHAZADO|2020-01-11 10:27:17|53|PotentiCras.avi
91|68|EN PROCESO|2021-04-02 23:44:56|97|LectusIn.mov
92|99|EN PROCESO|2022-02-03 05:30:26|301|Vitae.mp3
93|189|EN PROCESO|2016-06-09 21:35:44|132|Duis.xls
94|292|APROBADO|2017-04-27 04:29:58|324|NonPretium.tiff
95|257|RECHAZADO|2016-03-30 17:39:29|73|Ultrices.mp3
96|265|RECHAZADO|2020-03-11 10:10:32|251|Magna.avi
97|193|RECHAZADO|2017-01-10 05:53:41|457|Augue.tiff
98|228|EN PROCESO|2022-11-15 17:51:58|244|Vestibulum.mov
99|165|EN PROCESO|2016-03-08 11:36:11|203|PosuereNonummy.ppt
100|308|APROBADO|2021-08-21 14:01:41|219|Nonummy.xls
101|364|APROBADO|2019-03-31 04:36:33|307|RutrumNullaNunc.avi
102|165|EN PROCESO|2018-01-14 07:49:54|400|NuncRhoncus.doc
103|134|EN PROCESO|2016-06-04 16:24:48|158|Sollicitudin.jpeg
104|280|RECHAZADO|2020-07-29 09:57:58|18|Convallis.avi
105|380|APROBADO|2021-05-20 01:22:33|470|PedeVenenatis.ppt
106|307|EN PROCESO|2022-01-16 16:19:29|195|Felis.mpeg
107|374|EN PROCESO|2016-08-15 15:43:46|478|PellentesqueQuisque.mp3
108|456|RECHAZADO|2019-03-09 23:07:57|497|CongueEget.jpeg
109|3|EN PROCESO|2016-03-23 18:45:59|18|MaurisVulputate.mp3
110|143|RECHAZADO|2019-11-06 20:27:07|450|PrimisInFaucibus.xls
111|142|APROBADO|2017-05-10 01:46:04|145|In.xls
112|391|APROBADO|2022-07-14 21:37:06|246|VestibulumSagittisSapien.avi
113|150|APROBADO|2022-06-02 09:37:12|247|PosuereNonummyInteger.ppt
114|223|EN PROCESO|2019-05-29 06:23:34|483|Velit.avi
115|262|EN PROCESO|2015-02-09 17:08:50|194|VestibulumSagittisSapien.png
116|165|APROBADO|2016-01-09 15:21:14|23|In.mov
117|258|RECHAZADO|2019-06-25 03:52:19|324|EgetTempusVel.mp3
118|304|RECHAZADO|2016-01-11 17:22:15|391|Tempor.png
119|397|APROBADO|2017-10-05 13:35:08|82|Sit.mp3
120|80|EN PROCESO|2018-12-24 01:50:09|119|Quis.gif
121|229|EN PROCESO|2016-01-21 01:04:47|264|QuisOrci.jpeg
122|226|APROBADO|2019-08-16 07:28:02|8|MagnaVestibulum.xls
123|462|EN PROCESO|2015-12-18 04:54:56|398|VolutpatConvallisMorbi.jpeg
124|257|APROBADO|2020-10-02 05:19:01|123|ErosVestibulum.avi
125|7|APROBADO|2016-09-18 22:27:28|87|AcEstLacinia.pdf
126|155|RECHAZADO|2019-09-29 14:53:19|80|MaecenasRhoncusAliquam.gif
127|238|RECHAZADO|2022-09-20 00:07:19|291|Porta.ppt
128|438|RECHAZADO|2019-03-26 08:58:27|336|SitAmet.gif
129|182|APROBADO|2015-07-07 19:58:51|153|AmetErosSuspendisse.mp3
130|233|RECHAZADO|2021-09-10 00:10:49|379|PosuereCubiliaCurae.mp3
131|37|APROBADO|2020-03-30 13:19:35|483|Congue.txt
132|268|RECHAZADO|2020-09-06 05:48:11|155|Adipiscing.doc
133|433|APROBADO|2022-06-21 05:34:01|338|SemperSapienA.png
134|350|RECHAZADO|2019-06-10 01:13:20|408|Integer.xls
135|66|APROBADO|2016-06-23 00:34:14|129|TristiqueInTempus.avi
136|441|APROBADO|2020-08-18 04:33:24|472|Dolor.mpeg
137|394|EN PROCESO|2022-08-25 22:40:22|139|RhoncusAliquetPulvinar.mpeg
138|55|APROBADO|2021-05-04 03:50:21|242|IntegerAc.xls
139|124|EN PROCESO|2017-12-17 05:06:11|185|Sed.pdf
140|124|EN PROCESO|2016-04-04 11:49:54|228|InConsequat.avi
141|199|RECHAZADO|2015-05-28 18:55:45|259|LuctusEt.png
142|43|RECHAZADO|2020-05-31 10:38:21|383|TurpisIntegerAliquet.xls
143|373|APROBADO|2018-06-10 12:59:31|487|SedAccumsan.tiff
144|409|APROBADO|2020-06-03 01:36:45|7|Sapien.mov
145|261|APROBADO|2016-12-05 02:41:22|352|QuamTurpisAdipiscing.tiff
146|457|APROBADO|2016-02-24 17:12:47|199|EratQuisque.mp3
147|85|APROBADO|2021-10-15 07:14:53|207|CondimentumCurabiturIn.doc
148|60|APROBADO|2016-10-01 05:42:38|414|VelPede.ppt
149|292|APROBADO|2022-06-24 06:37:12|429|NullaEgetEros.pdf
150|391|EN PROCESO|2016-03-21 03:03:36|64|IdTurpis.avi
151|159|EN PROCESO|2015-08-20 03:28:37|272|SagittisSapien.jpeg
152|205|EN PROCESO|2015-10-09 11:21:29|217|PosuereFelisSed.mp3
153|70|RECHAZADO|2019-01-27 22:15:08|319|Vulputate.tiff
154|42|EN PROCESO|2015-07-29 00:37:22|231|InFelis.jpeg
155|274|APROBADO|2017-05-26 23:44:03|88|SitAmetErat.avi
156|370|APROBADO|2019-08-22 09:21:16|134|LiberoNon.avi
157|433|APROBADO|2020-04-25 03:34:02|45|Purus.ppt
158|80|EN PROCESO|2019-12-06 15:30:32|179|In.ppt
159|57|RECHAZADO|2019-08-25 07:24:27|394|RisusAuctorSed.avi
160|223|APROBADO|2022-12-14 15:54:44|425|NullaSedVel.ppt
161|250|EN PROCESO|2019-01-19 00:11:48|67|Sit.ppt
162|147|RECHAZADO|2022-01-30 07:36:49|493|Convallis.jpeg
163|367|RECHAZADO|2020-01-19 05:06:06|85|Nam.ppt
164|217|RECHAZADO|2015-11-06 05:22:31|146|Dapibus.jpeg
165|17|EN PROCESO|2020-06-21 12:01:49|459|In.avi
166|214|RECHAZADO|2015-04-07 11:37:29|264|Tortor.xls
167|406|RECHAZADO|2018-08-11 21:11:48|103|Curabitur.txt
168|339|EN PROCESO|2017-05-19 22:49:15|104|Sed.jpeg
169|315|EN PROCESO|2022-05-30 03:42:38|267|QuisquePortaVolutpat.mp3
170|225|EN PROCESO|2018-09-13 20:42:45|368|Varius.mp3
171|123|APROBADO|2019-12-06 16:21:47|266|InMagnaBibendum.xls
172|458|APROBADO|2016-12-24 17:42:28|268|LiberoNon.png
173|409|EN PROCESO|2016-09-13 19:04:54|115|MaurisSitAmet.gif
174|47|EN PROCESO|2019-05-20 00:41:58|15|OdioOdio.ppt
175|57|APROBADO|2021-01-11 22:27:01|332|VelNullaEget.gif
176|421|EN PROCESO|2022-04-25 07:26:06|483|Accumsan.mpeg
177|473|RECHAZADO|2019-10-10 03:32:21|232|SodalesScelerisqueMauris.pdf
178|221|RECHAZADO|2021-07-10 05:27:08|100|EuNibhQuisque.doc
179|178|EN PROCESO|2017-06-23 22:02:35|213|Orci.ppt
180|86|EN PROCESO|2017-07-14 05:21:11|372|Venenatis.ppt
181|206|EN PROCESO|2019-01-31 18:27:35|12|ConvallisTortorRisus.mp3
182|57|EN PROCESO|2018-04-09 01:56:59|226|ViverraEgetCongue.mp3
183|300|RECHAZADO|2018-05-05 07:51:19|142|Eget.xls
184|421|EN PROCESO|2016-01-29 06:31:29|216|Sapien.xls
185|255|APROBADO|2017-01-15 15:57:09|71|VelitVivamusVel.jpeg
186|299|EN PROCESO|2022-11-28 17:25:26|300|Elit.mp3
187|211|RECHAZADO|2021-05-09 18:29:16|16|VestibulumSagittis.png
188|46|APROBADO|2016-07-04 19:40:31|212|Accumsan.avi
189|102|APROBADO|2021-12-29 21:01:32|434|Fusce.gif
190|28|RECHAZADO|2017-03-05 10:12:30|460|Maecenas.mpeg
191|235|RECHAZADO|2015-08-29 00:27:33|473|RutrumAt.ppt
192|427|APROBADO|2018-06-04 17:44:31|315|CurabiturAt.avi
193|46|EN PROCESO|2021-11-04 16:54:09|230|Maecenas.xls
194|283|RECHAZADO|2021-10-20 14:32:26|193|Dolor.mp3
195|26|EN PROCESO|2016-11-11 14:10:34|363|QuisAugue.ppt
196|123|RECHAZADO|2016-05-20 22:24:23|251|DuiProinLeo.avi
197|215|APROBADO|2016-11-19 01:05:41|27|Quisque.ppt
198|334|EN PROCESO|2017-09-23 23:51:24|476|InSagittis.avi
199|89|RECHAZADO|2015-02-03 16:40:08|388|Vulputate.xls
200|304|APROBADO|2021-12-02 19:41:08|181|ConvallisNuncProin.xls
201|273|APROBADO|2020-08-11 14:15:54|7|Fusce.xls
202|353|APROBADO|2019-04-01 04:10:38|119|UtNulla.mp3
203|194|RECHAZADO|2019-01-10 03:55:47|131|Nullam.mp3
204|374|EN PROCESO|2016-10-26 06:37:37|53|MaecenasUtMassa.avi
205|358|APROBADO|2019-09-03 03:22:40|149|Quam.mp3
206|21|EN PROCESO|2016-12-17 11:17:32|320|Ac.tiff
207|85|EN PROCESO|2019-07-14 22:20:37|133|EtiamVel.avi
208|341|RECHAZADO|2021-05-05 17:09:37|139|Ac.txt
209|451|APROBADO|2022-05-27 07:34:23|214|Lectus.pdf
210|341|EN PROCESO|2016-07-20 15:23:09|473|CommodoVulputateJusto.ppt
211|141|EN PROCESO|2016-07-28 09:39:43|203|FaucibusCursus.mp3
212|195|EN PROCESO|2019-01-06 02:36:58|331|Erat.mp3
213|212|APROBADO|2015-08-09 02:36:16|201|Vivamus.mp3
214|280|EN PROCESO|2018-03-03 06:10:59|136|Posuere.ppt
215|213|EN PROCESO|2019-06-23 18:41:29|331|InBlanditUltrices.ppt
216|478|APROBADO|2016-10-25 10:25:21|99|IpsumPraesentBlandit.jpeg
217|183|EN PROCESO|2015-02-07 21:48:34|157|ElementumPellentesqueQuisque.xls
218|469|EN PROCESO|2020-05-23 04:52:23|81|AliquetAt.ppt
219|190|RECHAZADO|2017-08-27 13:04:37|365|TurpisElementum.mp3
220|432|EN PROCESO|2018-01-18 05:44:21|10|EtMagnis.mp3
221|73|RECHAZADO|2019-02-09 00:57:05|347|Mattis.gif
222|17|APROBADO|2019-10-13 09:40:12|114|AliquetMassaId.jpeg
223|400|EN PROCESO|2018-05-22 11:12:08|262|EgetEros.ppt
224|390|EN PROCESO|2018-02-12 15:09:40|221|Turpis.jpeg
225|229|RECHAZADO|2015-05-26 15:22:34|13|Porta.txt
226|391|EN PROCESO|2019-04-01 20:37:03|363|Ut.ppt
227|208|RECHAZADO|2017-07-08 22:40:58|172|Tempus.avi
228|338|APROBADO|2018-04-07 23:59:05|137|CongueVivamusMetus.tiff
229|27|RECHAZADO|2016-07-17 21:19:51|117|LeoMaecenas.mp3
230|434|EN PROCESO|2020-10-18 12:48:36|437|UtMassaVolutpat.mp3
231|74|RECHAZADO|2015-01-31 20:20:00|285|Porta.png
232|267|APROBADO|2015-04-20 20:06:07|60|TurpisDonec.mp3
233|172|APROBADO|2017-11-29 07:38:49|409|Praesent.avi
234|243|EN PROCESO|2020-05-08 20:05:45|280|Ridiculus.mp3
235|375|EN PROCESO|2019-09-05 18:21:44|41|PraesentId.jpeg
236|381|APROBADO|2018-01-30 05:30:47|150|ConsequatMetus.ppt
237|46|EN PROCESO|2021-05-09 19:10:14|421|Nisi.tiff
238|255|RECHAZADO|2015-10-11 15:13:28|294|Ipsum.txt
239|317|RECHAZADO|2022-03-05 16:39:33|85|Etiam.mp3
240|47|APROBADO|2017-08-06 20:37:03|364|NatoquePenatibus.avi
241|10|APROBADO|2021-11-22 04:30:17|369|Risus.avi
242|197|EN PROCESO|2022-02-19 09:08:47|10|MalesuadaInImperdiet.xls
243|446|APROBADO|2016-04-28 09:27:19|214|Sapien.ppt
244|397|APROBADO|2015-05-28 09:30:09|485|EratEros.xls
245|283|EN PROCESO|2015-03-16 05:15:29|117|AdipiscingLorem.tiff
246|261|EN PROCESO|2020-08-23 23:24:31|155|NibhLigulaNec.png
247|91|EN PROCESO|2021-07-28 21:31:54|451|TortorEuPede.mov
248|163|RECHAZADO|2019-05-31 18:19:57|357|EstPhasellus.mp3
249|417|RECHAZADO|2021-07-07 02:44:02|354|VestibulumProin.png
250|40|RECHAZADO|2022-08-28 03:09:46|474|Turpis.ppt
251|178|RECHAZADO|2016-11-04 17:43:47|358|Molestie.ppt
252|148|EN PROCESO|2020-05-21 04:30:58|26|Tincidunt.txt
253|136|APROBADO|2020-06-01 20:07:44|409|MaecenasUtMassa.mp3
254|239|APROBADO|2016-02-19 04:28:03|320|CuraeDuisFaucibus.xls
255|308|APROBADO|2021-08-04 04:19:58|199|ElitProin.ppt
256|116|RECHAZADO|2020-09-25 01:17:58|274|DonecDiam.ppt
257|461|RECHAZADO|2019-04-01 17:09:35|248|Enim.ppt
258|299|RECHAZADO|2019-01-07 23:54:28|130|QuisquePortaVolutpat.gif
259|214|RECHAZADO|2017-01-16 21:41:25|103|FaucibusOrciLuctus.avi
